title,author,publisher,publication_year,call_number,ISBN
아들과 연인. 1,데이비드 허버트 로렌스 지음;정상준 옮김,민음사,2003,808 세18민 v.59,8937460599
싯다르타,헤르만 헤세 지음;박병덕 옮김,민음사,2003,808 세18민 v.58,8937460580
부덴브로크 가의 사람들. 2,토마스 만 지음;홍성광 옮김,민음사,2003,808 세18민 v.57,8937460572
부덴브로크 가의 사람들. 1,토마스 만 지음;홍성광 옮김,민음사,2003,808 세18민 v.56,8937460564
모래의 여자,아베 코보 지음;김난주 옮김,민음사,2003,808 세18민 v.55,8937460556
조서,르 클레지오 지음;김윤진 옮김,민음사,353,808 세18민 v.54,8937460548
오셀로,윌리엄 셰익스피어 지음;최종철 옮김,민음사,2003,808 세18민 v.53,893746053X
황제를 위하여. 2,이문열 지음,민음사,2002,808 세18민 v.52,8937460521
황제를 위하여. 1,이문열 지음,민음사,2003,808 세18민 v.51,8937460513
파르마의 수도원. 2,스탕달 지음;원윤수;임미경 [같이]옮김,민음사,2003,808 세18민 v.49,8937460491
파르마의 수도원. 1,스탕달 지음;원윤수;임미경 [같이]옮김,민음사,2003,808 세18민 v.48,8937460483
카탈로니아 찬가,조지 오웰 지음;정영목 옮김,민음사,2003,808 세18민 v.46,8937460467
감옥에서 보낸 편지,안토니오 그람시 지음;린 로너 엮음;양희정 옮김,민음사,2003,883 그292감 v.42,8937460424
독일어 시간. 2,지그프리트 렌츠 지음;정서웅 옮김,민음사,2002,808 세18민 v.41,8937460416
독일어 시간. 1,지그프리트 렌츠 지음;정서웅 옮김,민음사,2002,808 세18민 v.40,8937460408
폴란드의 풍차,장 지오노 지음;박인철 옮김,민음사,2002,808 세18민 v.39,8937460394
거미여인의 키스,마누엘 푸익 지음;송병선 옮김,민음사,2003,808 세18민 v.37,8937460378
마담 보바리,귀스타브 플로베르 지음;김화영 옮김,민음사,2003,808 세18민 v.36,893746036X
백년의 고독. 2,가브리엘 가르시아 마르케스 지음;조구호 옮김,민음사,2003,808 세18민 v.35,8937460351
백년의 고독. 1,가브리엘 가르시아 마르케스 지음;조구호 옮김,민음사,2003,808 세18민 v.34,8937460343
양철북. 2,귄터 그라스 지음;장희창 옮김,민음사,2003,808 세18민 v.33,8937460335
양철북. 1,귄터 그라스 지음;장희창 옮김,민음사,2003,808 세18민 v.32,8937460327
아메리칸,헨리 제임스 지음;최경도 옮김,민음사,2003,808 세18민 v.31,8937460319
최영준,최영준 그림,삼광문화사,2005,653.11 ㅊ554ㅊ,
농담,밀란 쿤데라 지음;방미경 옮김,민음사,2003,808 세18민 v.29,8937460297
삶의 한가운데,루이제 린저 지음;박찬일 옮김,민음사,2003,808 세18민 v.28,8937460289
이피게니에·스텔라,요한 볼프강 폰 괴테 지음;박찬기...[등]옮김,민음사,2003,808 세18민 v.26,8937460262
젊은 베르테르의 슬픔,요한 볼프강 폰 괴테 지음;박찬기 옮김,민음사,2003,808 세18민 v.25,8937460254
빌헬름 마이스터의 수업시대. 2,요한 볼프강 폰 괴테 지음;안삼환 옮김,민음사,2003,808 세18민 v.24,8937460246
빌헬름 마이스터의 수업시대. 1,요한 볼프강 폰 괴테 지음;안삼환 옮김,민음사,2003,808 세18민 v.23,8937460238
파우스트. 2,요한 볼프강 폰 괴테 지음;정서웅 옮김,민음사,2003,808 세18민 v.22,893746022X
파우스트. 1,요한 볼프강 폰 괴테 지음;정서웅 옮김,민음사,2003,808 세18민 v.21,8937460211
한국단편문학선. 2,김동리...[등]지음;이남호 엮음,민음사,2003,808 세18민 v.20,8937460203
파리대왕,윌리엄 골딩 지음;유종호 옮김,민음사,2003,808 세18민 v.19,893746019X
중국신화전설. 2,위앤커 지음;전인초;김선자 [같이]옮김,민음사,2003,808 세18민 v.17,8937460173
중국신화전설. 1,위앤커 지음;전인초;김선자 [같이]옮김,민음사,2003,808 세18민 v.16,8937460165
나의 미카엘,아모스 오즈 지음;최창모 옮김,민음사,2003,808 세18민 v.15,8937460157
나사니엘 호손 단편선,나사니엘 호손 지음;천승걸 옮김,민음사,2003,808 세18민 v.14,8937460149
"이반 데니소비치, 수용소의 하루",알렉산드르 솔제니친 지음;이영의 옮김,민음사,2003,808 세18민 v.13,8937460130
인간의 굴레에서. 2,서머싯 몸 지음;송무 옮김,민음사,2002,808 세18민 v.12,8937460122
인간의 굴레에서. 1,서머싯 몸 지음;송무 옮김,민음사,2003,808 세18민 v.11,8937460114
한국단편문학선. 1,김동인...[등]지음;이남호 엮음,민음사,2003,808 세18민 v.10,8937460106
